1, 87561, Pitch_bend_c, 0, 2121
1, 87587, Pitch_bend_c, 0, 2675
1, 87612, Pitch_bend_c, 0, 3518
1, 87638, Pitch_bend_c, 0, 4168
1, 87664, Pitch_bend_c, 0, 5108
1, 87689, Pitch_bend_c, 0, 5999
1, 87715, Pitch_bend_c, 0, 6746
1, 87740, Pitch_bend_c, 0, 7324
1, 87766, Pitch_bend_c, 0, 7878
1, 87792, Pitch_bend_c, 0, 8192
1, 89563, Note_on_c, 0, 68, 0
1, 89660, Pitch_bend_c, 0, 7999
1, 89686, Pitch_bend_c, 0, 6891
1, 89712, Pitch_bend_c, 0, 5855
1, 89737, Pitch_bend_c, 0, 4313
1, 89763, Pitch_bend_c, 0, 3108
1, 89788, Pitch_bend_c, 0, 1783
1, 89796, Note_on_c, 0, 68, 59
1, 89812, Pitch_bend_c, 0, 1133
1, 89840, Pitch_bend_c, 0, 362
1, 89865, Pitch_bend_c, 0, 266
1, 89891, Pitch_bend_c, 0, 73
1, 89967, Pitch_bend_c, 0, 266
1, 89993, Pitch_bend_c, 0, 49
1, 90095, Pitch_bend_c, 0, 266
1, 90121, Pitch_bend_c, 0, 145
1, 90224, Pitch_bend_c, 0, 434
1, 90248, Pitch_bend_c, 0, 1229
1, 90275, Pitch_bend_c, 0, 1831
1, 90300, Pitch_bend_c, 0, 3060
1, 90326, Pitch_bend_c, 0, 4120
1, 90352, Pitch_bend_c, 0, 5662
1, 90377, Pitch_bend_c, 0, 7107
1, 90403, Pitch_bend_c, 0, 8192
1, 90633, Pitch_bend_c, 0, 7710
1, 90659, Pitch_bend_c, 0, 6553
1, 90684, Pitch_bend_c, 0, 5614
1, 90710, Pitch_bend_c, 0, 4554
1, 90736, Pitch_bend_c, 0, 3879
1, 90761, Pitch_bend_c, 0, 2988
1, 90787, Pitch_bend_c, 0, 2096
1, 90812, Pitch_bend_c, 0, 1133
1, 90838, Pitch_bend_c, 0, 290
1, 90864, Pitch_bend_c, 0, 0
1, 91043, Pitch_bend_c, 0, 169
1, 91068, Pitch_bend_c, 0, 844
1, 91094, Pitch_bend_c, 0, 1880
1, 91120, Pitch_bend_c, 0, 3156
1, 91145, Pitch_bend_c, 0, 4506
1, 91171, Pitch_bend_c, 0, 6192
1, 91196, Pitch_bend_c, 0, 7758
1, 91222, Pitch_bend_c, 0, 8192
1, 91427, Pitch_bend_c, 0, 7059
1, 91452, Pitch_bend_c, 0, 5758
1, 91478, Pitch_bend_c, 0, 4313
1, 91504, Pitch_bend_c, 0, 3253
1, 91529, Pitch_bend_c, 0, 2602
1, 91555, Pitch_bend_c, 0, 2096
1, 91606, Pitch_bend_c, 0, 1663
1, 91632, Pitch_bend_c, 0, 1518
1, 91657, Pitch_bend_c, 0, 1109
1, 91683, Pitch_bend_c, 0, 940
1, 91708, Pitch_bend_c, 0, 820
1, 91734, Pitch_bend_c, 0, 1036
1, 91760, Pitch_bend_c, 0, 1277
1, 91785, Pitch_bend_c, 0, 2193
1, 91811, Pitch_bend_c, 0, 3277
1, 91836, Pitch_bend_c, 0, 4795
1, 91862, Pitch_bend_c, 0, 6071
1, 91888, Pitch_bend_c, 0, 7107
1, 91913, Pitch_bend_c, 0, 7469
1, 91939, Pitch_bend_c, 0, 7686
1, 91964, Pitch_bend_c, 0, 7565
1, 92016, Pitch_bend_c, 0, 7011
1, 92041, Pitch_bend_c, 0, 6216
1, 92067, Pitch_bend_c, 0, 5132
1, 92092, Pitch_bend_c, 0, 3711
1, 92118, Pitch_bend_c, 0, 2482
1, 92144, Pitch_bend_c, 0, 1301
1, 92168, Pitch_bend_c, 0, 651
1, 92195, Pitch_bend_c, 0, 290
1, 92297, Pitch_bend_c, 0, 386
1, 92323, Pitch_bend_c, 0, 747
1, 92348, Pitch_bend_c, 0, 1229
1, 92374, Pitch_bend_c, 0, 2265
1, 92400, Pitch_bend_c, 0, 3638
1, 92425, Pitch_bend_c, 0, 5469
1, 92449, Pitch_bend_c, 0, 7493
1, 92476, Pitch_bend_c, 0, 8192
1, 92881, Note_on_c, 0, 68, 0
1, 93116, Note_on_c, 0, 66, 78
1, 93577, Pitch_bend_c, 0, 7541
1, 93603, Pitch_bend_c, 0, 7107
1, 93628, Pitch_bend_c, 0, 6674
1, 93654, Pitch_bend_c, 0, 6312
1, 93680, Pitch_bend_c, 0, 5879
1, 93705, Pitch_bend_c, 0, 5469
1, 93731, Pitch_bend_c, 0, 5132
1, 93756, Pitch_bend_c, 0, 4867
1, 93782, Pitch_bend_c, 0, 4530
1, 93808, Pitch_bend_c, 0, 4313
1, 93833, Pitch_bend_c, 0, 4096
1, 93859, Pitch_bend_c, 0, 3879
1, 93884, Pitch_bend_c, 0, 3711
1, 93910, Pitch_bend_c, 0, 3349
1, 93936, Pitch_bend_c, 0, 2964
1, 93961, Pitch_bend_c, 0, 2771
1, 93987, Pitch_bend_c, 0, 2458
1, 94012, Pitch_bend_c, 0, 2072
1, 94038, Pitch_bend_c, 0, 1856
1, 94064, Pitch_bend_c, 0, 1470
1, 94089, Pitch_bend_c, 0, 1133
1, 94115, Pitch_bend_c, 0, 916
1, 94140, Pitch_bend_c, 0, 723
1, 94166, Pitch_bend_c, 0, 434
1, 94192, Pitch_bend_c, 0, 338
1, 94217, Pitch_bend_c, 0, 145
1, 94268, Pitch_bend_c, 0, 0
1, 94780, Pitch_bend_c, 0, 73
1, 94806, Pitch_bend_c, 0, 699
1, 94832, Pitch_bend_c, 0, 1494
1, 94857, Pitch_bend_c, 0, 2867
1, 94883, Pitch_bend_c, 0, 4048
1, 94908, Pitch_bend_c, 0, 5228
1, 94934, Pitch_bend_c, 0, 6505
1, 94960, Pitch_bend_c, 0, 7493
1, 94985, Pitch_bend_c, 0, 8192
1, 94988, Note_on_c, 0, 66, 0
1, 95107, Note_on_c, 0, 66, 76
1, 95164, Pitch_bend_c, 0, 7637
1, 95190, Pitch_bend_c, 0, 6144
1, 95216, Pitch_bend_c, 0, 4771
1, 95241, Pitch_bend_c, 0, 3735
1, 95267, Pitch_bend_c, 0, 2940
1, 95291, Pitch_bend_c, 0, 2578
1, 95318, Pitch_bend_c, 0, 2121
1, 95342, Pitch_bend_c, 0, 1928
1, 95368, Pitch_bend_c, 0, 1542
1, 95393, Pitch_bend_c, 0, 1326
1, 95419, Pitch_bend_c, 0, 1109
1, 95444, Pitch_bend_c, 0, 916
1, 95472, Pitch_bend_c, 0, 627
1, 95497, Pitch_bend_c, 0, 506
1, 95523, Pitch_bend_c, 0, 290
1, 95548, Pitch_bend_c, 0, 145
1, 95574, Pitch_bend_c, 0, 0
1, 95984, Pitch_bend_c, 0, 531
1, 96007, Pitch_bend_c, 0, 1615
1, 96035, Pitch_bend_c, 0, 2843
1, 96060, Pitch_bend_c, 0, 4024
1, 96086, Pitch_bend_c, 0, 5349
1, 96102, Note_on_c, 0, 66, 0
1, 96113, Pitch_bend_c, 0, 6505
1, 96135, Pitch_bend_c, 0, 7348
1, 96163, Pitch_bend_c, 0, 8071
1, 96188, Pitch_bend_c, 0, 8192
1, 96201, Note_on_c, 0, 66, 78
1, 96240, Pitch_bend_c, 0, 8023
1, 96265, Pitch_bend_c, 0, 7156
1, 96291, Pitch_bend_c, 0, 5710
1, 96316, Pitch_bend_c, 0, 4192
1, 96342, Pitch_bend_c, 0, 2771
1, 96368, Pitch_bend_c, 0, 1904
1, 96393, Pitch_bend_c, 0, 1229
1, 96419, Pitch_bend_c, 0, 1061
1, 96444, Pitch_bend_c, 0, 796
1, 96470, Pitch_bend_c, 0, 675
1, 96495, Pitch_bend_c, 0, 458
1, 96521, Pitch_bend_c, 0, 241
1, 96547, Pitch_bend_c, 0, 0
1, 97187, Pitch_bend_c, 0, 145
1, 97212, Pitch_bend_c, 0, 506
1, 97238, Pitch_bend_c, 0, 771
1, 97264, Pitch_bend_c, 0, 1229
1, 97289, Pitch_bend_c, 0, 1542
1, 97315, Pitch_bend_c, 0, 1952
1, 97340, Pitch_bend_c, 0, 2506
1, 97366, Pitch_bend_c, 0, 3229
1, 97392, Pitch_bend_c, 0, 4072
1, 97416, Pitch_bend_c, 0, 4963
1, 97441, Pitch_bend_c, 0, 5927
1, 97467, Pitch_bend_c, 0, 6674
1, 97494, Pitch_bend_c, 0, 7348
1, 97520, Pitch_bend_c, 0, 7830
1, 97545, Pitch_bend_c, 0, 8192
1, 100864, Note_on_c, 0, 66, 0
1, 101204, Pitch_bend_c, 0, 6577
1, 101222, Note_on_c, 0, 63, 68
1, 101236, Pitch_bend_c, 0, 5060
1, 101256, Pitch_bend_c, 0, 3831
1, 101281, Pitch_bend_c, 0, 2771
1, 101307, Pitch_bend_c, 0, 1904
1, 101332, Pitch_bend_c, 0, 1012
1, 101358, Pitch_bend_c, 0, 73
1, 101384, Pitch_bend_c, 0, 0
1, 101641, Pitch_bend_c, 0, 241
1, 101665, Pitch_bend_c, 0, 1301
1, 101690, Pitch_bend_c, 0, 2602
